CustomerID,CustomerName,Region,CustomerSegment,SignupDate
C00001,Victoria Williams,Kano,Consumer,2024-03-21
C00002,John Thomas,Edo,Consumer,2024-12-11
C00003,Sarah Wilson,Rivers,Small Business,2025-10-18
C00004,Mary Miller,Lagos,Corporate,2025-12-12
C00005,Samuel Miller,Delta,Corporate,2024-07-24
C00006,Victoria White,Delta,Corporate,2023-08-01
C00007,Rebecca Martin,Abuja,Corporate,2023-08-08
C00008,Rebecca Williams,Kano,Small Business,2025-11-23
C00009,Victoria Thomas,Oyo,Corporate,2025-09-25
C00010,Mary Jones,Delta,Small Business,2025-11-06
C00011,David Taylor,Lagos,Corporate,2023-07-01
C00012,Rebecca Martin,Abuja,Consumer,2025-10-03
C00013,Daniel Thomas,Lagos,Corporate,2024-10-19
C00014,Elizabeth White,Enugu,Small Business,2024-04-09
C00015,Mary Wilson,Delta,Small Business,2024-09-08
C00016,Samuel Harris,Abuja,Consumer,2025-05-09
C00017,Samuel Davis,Lagos,Small Business,2025-01-16
C00018,Esther Miller,Edo,Corporate,2024-06-16
C00019,David Jones,Oyo,Consumer,2023-06-19
C00020,David Brown,Lagos,Consumer,2025-06-17
C00021,Victoria Wilson,Delta,Corporate,2023-12-09
C00022,Mary Davis,Delta,Consumer,2023-10-16
C00023,Daniel Thomas,Oyo,Small Business,2023-06-02
C00024,Victoria Smith,Rivers,Small Business,2025-04-14
C00025,Esther Davis,Abuja,Consumer,2024-12-12
C00026,Jennifer Miller,Oyo,Small Business,2023-06-26
C00027,David Williams,Edo,Consumer,2025-04-11
C00028,Esther Anderson,Enugu,Corporate,2025-01-26
C00029,Sarah Davis,Abuja,Consumer,2024-04-12
C00030,Samuel Jones,Oyo,Consumer,2024-09-29
C00031,Jennifer Brown,Oyo,Small Business,2023-06-14
C00032,Paul Martin,Kano,Consumer,2023-08-10
C00033,Jennifer White,Oyo,Consumer,2023-10-30
C00034,James Thomas,Kano,Consumer,2024-05-21
C00035,Grace Miller,Delta,Consumer,2025-02-22
C00036,Esther Taylor,Lagos,Corporate,2024-05-30
C00037,Joseph Anderson,Lagos,Corporate,
C00038,Elizabeth Davis,Delta,Consumer,2024-06-27
C00039,Michael Martin,Edo,Small Business,2025-07-05
C00040,John Jones,Enugu,Consumer,2023-01-03
C00041,Michael Jackson,Kano,Corporate,2025-09-22
C00042,Michael Jones,Oyo,Consumer,2023-06-21
C00043,Mary Brown,Abuja,Corporate,2023-10-09
C00044,Mary Jackson,Edo,Consumer,2025-04-19
C00045,Michael Brown,Lagos,Consumer,2025-03-26
C00046,James Wilson,Abuja,Small Business,2024-11-30
C00047,Esther Anderson,Oyo,Consumer,2023-06-21
C00048,Samuel Williams,Kano,Small Business,2023-06-17
C00049,David Jackson,Kano,Small Business,2025-01-11
C00050,Jennifer Anderson,Abuja,Small Business,2025-01-06
C00051, Esther Thomas ,Abuja,Consumer,2023-01-21
C00052,John Miller,Abuja,Small Business,2024-01-20
C00053,Sarah Davis,Rivers,Small Business,2023-02-10
C00054,Rebecca Wilson,Delta,Consumer,2025-07-03
C00055,Victoria Wilson,Abuja,Small Business,2025-07-05
C00056,John Jackson,Lagos,Corporate,2023-05-13
C00057,Joseph Anderson,Delta,Small Business,2025-03-03
C00058,Jennifer Davis,Enugu,Small Business,2023-03-24
C00059,Joseph Smith,Delta,Consumer,2023-11-24
C00060,John White,Delta,,2025-04-03
C00061,Victoria Wilson,Oyo,,2025-03-31
C00062,Joseph Jones,RIVERS,Corporate,2025-09-11
C00063,Rebecca Wilson,Delta,Consumer,2023-12-09
C00064,Daniel Johnson,Kano,Small Business,2024-08-15
C00065,David Martin,EDO,Consumer,2024-09-04
C00066,Esther Taylor,Lagos,Small Business,2024-01-06
C00067,Sarah Smith,Abuja,Small Business,
C00068,Daniel Miller,Delta,Consumer,2024-06-24
C00069,Rebecca Jackson,Enugu,Consumer,2023-07-29
C00070,Rebecca Jones,Edo,Corporate,2024-03-30
C00071,Michael Anderson,DELTA,Small Business,2024-02-03
C00072,Elizabeth Davis,Edo,Consumer,2025-08-30
C00073,Grace White,Enugu,Small Business,2024-01-22
C00074,James Taylor,Abuja,Consumer,2025-09-30
C00075,Jennifer Martin,Edo,Corporate,2025-01-07
C00076,Jennifer Thomas,Abuja,Corporate,2024-05-13
C00077,Daniel Williams,Oyo,Corporate,2023-08-26
C00078,Mary Taylor,Delta,Corporate,2025-10-29
C00079,Daniel Smith,Rivers,Consumer,2024-11-09
C00080,John Jones,Rivers,Consumer,2025-08-13
C00081,Jennifer Jones,Abuja,Consumer,2025-04-06
C00082,Mary Jackson,Enugu,Consumer,2024-05-09
C00083,John Wilson,Lagos,Small Business,2023-09-11
C00084,Mary Johnson,Kano,Corporate,2024-06-05
C00085,Sarah Smith,Lagos,Small Business,2024-02-04
C00086,Victoria Thomas,Kano,Consumer,2024-02-07
C00087,Paul Wilson,Delta,Consumer,2023-02-18
C00088,James Thomas,Edo,,2024-08-28
C00089,Esther Anderson,Abuja,Corporate,2024-08-11
C00090,Elizabeth Martin,Enugu,Consumer,2023-02-22
C00091,Daniel Martin,Rivers,Corporate,2024-07-06
C00092,David Williams,Oyo,Corporate,2024-03-25
C00093,Daniel Taylor,Enugu,Corporate,2025-01-21
C00094,Grace White,Kano,Small Business,2025-10-09
C00095,Elizabeth Thomas,Edo,Small Business,2024-08-16
C00096,Mary Thomas,Lagos,Small Business,2025-09-11
C00097,Mary Anderson,Edo,Consumer,2025-08-04
C00098,Joseph Martin,Enugu,Consumer,2023-06-29
C00099, Jennifer Brown ,Abuja,Corporate,2025-07-15
C00100,Joseph Anderson,Enugu,Consumer,2023-07-12
C00101,Rebecca Harris,Kano,Corporate,2023-05-08
C00102,Esther Williams,Lagos,Consumer,2023-07-22
C00103,Joseph Thomas,Delta,Small Business,2024-10-08
C00104,David Davis,Rivers,Corporate,2023-02-22
C00105,David White,Abuja,Corporate,2025-01-19
C00106,Sarah Johnson,Enugu,Consumer,2024-11-25
C00107,Daniel Thomas,Rivers,Consumer,2024-05-22
C00108,Elizabeth Harris,Kano,Small Business,2023-01-31
C00109,Sarah Thomas,Rivers,Corporate,2023-10-29
C00110, Jennifer Jones ,Rivers,Corporate,2024-09-12
C00111,John Thomas,Kano,Small Business,2023-06-14
C00112,Elizabeth Miller,Rivers,Consumer,2024-10-27
C00113,Elizabeth Jackson,Kano,Consumer,2025-04-04
C00114,Victoria Johnson,Delta,Consumer,2025-04-28
C00115,Esther Jones,Kano,Consumer,2023-01-19
C00116, Sarah Smith ,Delta,Consumer,2024-06-09
C00117,Michael Johnson,Edo,Consumer,2024-07-30
C00118,Paul Anderson,Abuja,Small Business,2023-12-12
C00119,Michael Brown,Lagos,Corporate,2025-12-25
C00120,Jennifer Wilson,Oyo,Consumer,2024-01-30
C00121,Jennifer Thomas,Delta,Small Business,2025-02-28
C00122,Jennifer Martin,Edo,Consumer,2024-12-26
C00123,Rebecca Miller,Oyo,Consumer,2023-07-02
C00124,Joseph Jones,Edo,Corporate,2023-03-10
C00125,Victoria Jones,Abuja,Small Business,
C00126,Mary Johnson,Delta,Consumer,2023-10-04
C00127,Esther Thomas,Delta,Consumer,2024-12-20
C00128,Daniel Harris,Edo,Small Business,2024-04-19
C00129,Daniel Wilson,Lagos,Small Business,2025-05-07
C00130,Sarah Anderson,DELTA,Consumer,2024-07-15
C00131,Grace Taylor,Kano,Corporate,2023-10-21
C00132,Paul Jackson,Edo,Corporate,2023-08-04
C00133, James White ,Edo,Consumer,2025-10-29
C00134,Esther Martin,Rivers,Corporate,2025-01-12
C00135,Mary Brown,Kano,Consumer,2025-01-13
C00136,Esther Thomas,Lagos,Consumer,2024-09-20
C00137,Rebecca Jackson,Lagos,Consumer,2023-09-15
C00138,Jennifer Harris,Lagos,Small Business,2023-09-28
C00139,Paul Miller,Delta,Corporate,
C00140,Rebecca Jackson,Kano,Consumer,2025-10-20
C00141,Elizabeth Thomas,Enugu,Small Business,2023-07-14
C00142,James Davis,Lagos,Small Business,2024-05-22
C00143,David Johnson,Edo,Consumer,2023-01-11
C00144, John Miller ,Edo,Small Business,2023-05-13
C00145,Sarah Taylor,ABUJA,Small Business,2023-03-23
C00146,Grace Brown,Abuja,Consumer,2025-04-03
C00147,John Johnson,Edo,Corporate,2023-06-17
C00148,Samuel Miller,Edo,Corporate,2023-08-05
C00149,Elizabeth Johnson,Edo,Corporate,2025-08-12
C00150,Joseph Jones,Rivers,Small Business,2025-03-01
C00151,John Martin,Edo,Small Business,2024-10-29
C00152,Sarah Jones,Lagos,Consumer,2025-09-15
C00153, John Anderson ,Enugu,Consumer,2024-05-02
C00154,Daniel Brown,Rivers,Corporate,2024-09-06
C00155,Samuel Jackson,Abuja,Consumer,2024-07-23
C00156,David Johnson,Lagos,Consumer,
C00157,Grace White,Delta,Corporate,2025-10-30
C00158,Daniel Davis,Abuja,Consumer,2023-11-17
C00159,David Williams,Lagos,Small Business,2024-03-05
C00160,Samuel White,Abuja,Consumer,2024-12-02
C00161,Victoria Anderson,Oyo,Small Business,2024-03-15
C00162,Daniel Davis,Enugu,Small Business,2023-07-07
